file,loc,language,change_count,churn_added,churn_deleted,churn_total,authors_count,author_concentration,last_modified_date,max_function_cc,avg_function_cc,max_function_loc,duplication_percent,code_health_score,hotspot_score,is_hotspot,coupling_degree,developer_congestion_flag,former_contributor_risk_flag
osafw-app/App_Code/fw/FwRoute.cs,14,.cs,3,33,13,46,1,1.0,2025-12-15T17:20:37-06:00,0,0.0,0,0.0,10.0,0.272,False,0,False,False
osafw-app/App_Code/fw/FwSelfTest.cs,415,.cs,7,123,39,162,1,1.0,2025-12-15T17:20:37-06:00,32,5.0,142,60.72,5.47,0.5741,True,91,False,False
osafw-app/App_Code/fw/FwUpdates.cs,144,.cs,4,206,13,219,1,1.0,2025-12-15T17:20:37-06:00,6,2.45,38,41.67,8.5,0.424,False,0,False,False
osafw-app/App_Code/fw/FwVirtualController.cs,70,.cs,5,112,18,130,1,1.0,2025-12-15T17:20:37-06:00,8,8.0,64,57.14,7.0,0.4297,False,0,False,False
osafw-app/App_Code/fw/FwVueController.cs,437,.cs,25,748,134,882,1,1.0,2026-01-20T09:49:19-06:00,30,6.73,134,49.2,5.32,0.7843,True,173,False,False
osafw-app/App_Code/fw/ImageUtils.cs,132,.cs,2,192,4,196,1,1.0,2025-12-10T11:47:30-06:00,13,8.33,75,34.85,6.5,0.2796,False,0,False,False
osafw-app/App_Code/fw/ParsePage.cs,1133,.cs,27,830,662,1492,1,1.0,2025-12-15T19:57:10-06:00,75,11.74,215,50.04,2.7,0.8555,True,133,False,False
osafw-app/App_Code/fw/UploadUtils.cs,233,.cs,6,54,46,100,2,0.99,2025-12-15T17:20:37-06:00,14,7.5,255,46.35,5.48,0.5191,True,87,False,False
osafw-app/App_Code/fw/Utils.cs,1203,.cs,33,926,761,1687,3,0.85,2025-12-23T08:32:46-06:00,15,2.72,49,50.54,5.66,0.8901,True,168,False,False
osafw-app/App_Code/models/Att.cs,470,.cs,18,296,211,507,2,0.96,2025-12-15T17:20:37-06:00,10,3.41,54,44.89,6.9,0.7391,True,160,False,False
osafw-app/App_Code/models/AttCategories.cs,46,.cs,5,28,9,37,1,1.0,2025-12-15T17:20:37-06:00,1,1.0,14,30.43,8.5,0.4084,False,0,False,False
osafw-app/App_Code/models/AttLinks.cs,100,.cs,4,21,11,32,1,1.0,2025-12-15T17:20:37-06:00,4,1.43,37,43.0,8.5,0.4083,False,0,False,False
osafw-app/App_Code/models/DemoDicts.cs,22,.cs,2,18,3,21,1,1.0,2025-12-10T11:47:30-06:00,1,1.0,5,27.27,8.5,0.2239,False,0,False,False
osafw-app/App_Code/models/Demos.cs,73,.cs,8,107,43,150,1,1.0,2025-12-15T18:06:37-06:00,10,3.4,15,24.66,7.97,0.5052,True,85,False,False
osafw-app/App_Code/models/DemosDemoDicts.cs,28,.cs,1,14,1,15,1,1.0,2025-12-08T09:46:21-06:00,1,1.0,8,28.57,8.5,0.0,False,0,False,False
osafw-app/App_Code/models/DemosItems.cs,39,.cs,4,25,28,53,1,1.0,2025-12-15T17:20:37-06:00,1,1.0,9,30.77,8.5,0.3651,False,0,False,False
osafw-app/App_Code/models/Dev/CodeGen.cs,1256,.cs,17,2156,508,2664,1,1.0,2026-01-21T16:46:29-06:00,85,11.0,366,39.65,2.47,0.7863,True,99,False,False
osafw-app/App_Code/models/Dev/ConfigJsonConverter.cs,145,.cs,3,208,14,222,1,1.0,2025-12-15T17:20:37-06:00,3,1.4,27,22.07,8.5,0.369,False,0,False,False
osafw-app/App_Code/models/Dev/EntityBuilder.cs,720,.cs,13,1089,158,1247,1,1.0,2026-01-21T16:46:29-06:00,39,4.64,138,45.97,4.75,0.7105,True,94,False,False
osafw-app/App_Code/models/Reports/Sample.cs,84,.cs,8,18,17,35,2,0.89,2025-12-15T17:20:37-06:00,9,5.0,60,26.19,7.49,0.5133,True,84,False,False
osafw-app/App_Code/models/Roles/Permissions.cs,62,.cs,5,26,10,36,1,1.0,2025-12-15T17:20:37-06:00,3,1.67,20,17.74,9.0,0.4236,False,0,False,False
osafw-app/App_Code/models/Roles/Resources.cs,34,.cs,5,41,12,53,1,1.0,2025-12-15T17:20:37-06:00,3,2.0,10,26.47,8.5,0.3924,False,0,False,False
osafw-app/App_Code/models/Roles/Roles.cs,28,.cs,4,28,5,33,1,1.0,2025-12-10T11:47:30-06:00,1,1.0,6,28.57,8.5,0.3488,False,0,False,False
osafw-app/App_Code/models/Roles/RolesResourcesPermissions.cs,132,.cs,10,74,32,106,2,0.99,2025-12-15T17:20:37-06:00,2,1.09,32,30.3,8.48,0.5733,True,89,False,False
osafw-app/App_Code/models/Roles/UsersRoles.cs,28,.cs,1,15,2,17,1,1.0,2025-12-08T09:46:21-06:00,1,1.0,8,28.57,8.5,0.0,False,0,False,False
osafw-app/App_Code/models/S3.cs,198,.cs,5,41,26,67,2,0.63,2025-12-10T11:47:30-06:00,10,2.6,36,55.05,8.0,0.4788,False,0,False,False
osafw-app/App_Code/models/Settings.cs,75,.cs,7,41,23,64,1,1.0,2025-12-15T18:06:37-06:00,3,1.44,17,37.33,8.49,0.4865,True,86,False,False
osafw-app/App_Code/models/Spages.cs,264,.cs,12,195,101,296,1,1.0,2025-12-26T15:39:04-06:00,9,2.94,41,34.09,7.44,0.6417,True,105,False,False
osafw-app/App_Code/models/UserFilters.cs,31,.cs,3,21,6,27,1,1.0,2025-12-15T17:20:37-06:00,1,1.0,7,25.81,8.5,0.3078,False,0,False,False
osafw-app/App_Code/models/UserLists.cs,131,.cs,7,48,30,78,1,1.0,2025-12-15T17:20:37-06:00,2,1.46,14,54.96,8.48,0.5166,True,88,False,False
osafw-app/App_Code/models/UserViews.cs,200,.cs,7,141,22,163,1,1.0,2025-12-15T19:55:55-06:00,4,1.81,18,42.5,8.47,0.5384,True,88,False,False
osafw-app/App_Code/models/Users.cs,607,.cs,20,492,170,662,2,1.0,2025-12-16T11:53:40-06:00,9,2.76,44,42.17,6.87,0.7709,True,175,False,False
osafw-app/App_Data/README_THEMES,15,<none>,1,3,3,6,1,1.0,2024-01-31T21:51:56+02:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/logs/.gitkeep,0,<none>,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/demo.sql,99,.sql,0,0,0,0,0,0.0,,0,0.0,0,28.28,8.5,0.0,False,0,False,False
osafw-app/App_Data/sql/fwdatabase.sql,342,.sql,6,110,38,148,1,1.0,2025-09-08T14:59:47-05:00,0,0.0,0,32.16,7.97,0.537,True,30,False,False
osafw-app/App_Data/sql/lookups.sql,23,.sql,2,13,7,20,1,1.0,2025-06-17T15:53:42-05:00,0,0.0,0,8.7,9.5,0.2254,False,0,False,False
osafw-app/App_Data/sql/mysql/demo.sql,64,.sql,0,0,0,0,0,0.0,,0,0.0,0,32.81,8.5,0.0,False,0,False,False
osafw-app/App_Data/sql/mysql/fwdatabase.sql,267,.sql,2,7,32,39,1,1.0,2025-09-08T14:59:47-05:00,0,0.0,0,38.58,8.0,0.299,False,0,False,False
osafw-app/App_Data/sql/mysql/lookups.sql,13,.sql,1,0,5,5,1,1.0,2025-09-02T14:45:32-05:00,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/mysql/views.sql,0,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/roles.sql,113,.sql,4,15,9,24,1,1.0,2025-09-02T14:45:32-05:00,0,0.0,0,44.25,8.5,0.4136,False,0,False,False
osafw-app/App_Data/sql/updates/upd2018-02-12.sql,6,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2019-10-31.sql,13,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2020-01-02.sql,2,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2020-04-13.sql,7,.sql,0,0,0,0,0,0.0,,0,0.0,0,71.43,8.5,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2020-05-19.sql,5,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
